v_p	A_p	v_s	A_s	νk	ipda	νk	isda
2133.23336	0.0004129991594941512	2133.23336	0.001012318373605256	2127.45	7.88833551800532e-38	2127.45	9.781228860604712e-38
2133.26349	0.0004277178711178248	2133.26349	0.0010464540531196498	2127.47	1.3987488448199745e-36	2127.47	1.7350518398794375e-36
2133.29362	0.0004724365827415006	2133.29362	0.001095589732634017	2127.49	2.3469250443978184e-35	2127.49	2.912401381474567e-35
2133.32376	0.0005321552010069189	2133.32376	0.0011547251252846252	2127.51	3.7262489518746333e-34	2127.51	4.626142982578926e-34
2133.35389	0.0006018739126305919	2133.35389	0.0012188608047990074	2127.53	5.59843326323571e-33	2127.53	6.953862575584122e-33
2133.38402	0.0006565926242542638	2133.38402	0.0012729964843133795	2127.55	7.959628622215003e-32	2127.55	9.891986649804835e-32
2133.41416	0.0006863112425196938	2133.41416	0.0013021318769639995	2127.57	1.0709307183423738e-30	2127.57	1.3316911133371638e-30
2133.44429	0.0006860299541433593	2133.44429	0.0013012675564783721	2127.59	1.3635902170325536e-29	2127.59	1.696677956013128e-29
2133.47443	0.0006457485724087955	2133.47443	0.0012854029491289748	2127.61	1.6431345875671242e-28	2127.61	2.0459073063510303e-28
2133.50456	0.0005954672840324665	2133.50456	0.001254538628643359	2127.63	1.8738865902393804e-27	2127.63	2.3349590077981795e-27
2133.53469	0.0005401859956561256	2133.53469	0.0012236743081577295	2127.65	2.0225999936275154e-26	2127.65	2.522302307617272e-26
2133.56483	0.0005049046139215599	2133.56483	0.001217809700808356	2127.67	2.0662864982410518e-25	2127.67	2.57904689823882e-25
2133.59496	0.0005046233255452323	2133.59496	0.0012319453803227298	2127.69	1.9980397675304855e-24	2127.69	2.4962457014316155e-24
2133.6251	0.0005393419438106534	2133.6251	0.0012760807729733231	2127.71	1.8288250854451545e-23	2127.71	2.2872075166876923e-23
2133.65523	0.0005940606554343253	2133.65523	0.0013352164524877141	2127.73	1.5845960605675017e-22	2127.73	1.9839963286547696e-22
2133.68536	0.0006537793670579953	2133.68536	0.0014043521320020735	2127.75	1.2997808541862244e-21	2127.75	1.629383352966035e-21
2133.7155	0.0006984979853234263	2133.7155	0.0014534875246526996	2127.77	1.0093854051165466e-20	2127.77	1.2670288580037557e-20
2133.74563	0.000718216696947091	2133.74563	0.0014876232041670795	2127.79	7.421869216552565e-20	2127.79	9.329717359807251e-20
2133.77576	0.0007179354085707634	2133.77576	0.0015017588836814394	2127.81	5.167465689863666e-19	2127.81	6.50597000946077e-19
2133.8059	0.00070265402683619	2133.8059	0.001495894276332066	2127.83	3.407170960913528e-18	2127.83	4.297004258651016e-18
2133.83603	0.0006873727384598544	2133.83603	0.0014950299558464247	2127.85	2.127710554818849e-17	2127.85	2.6883445371308312e-17
2133.86617	0.000687091356725289	2133.86617	0.0015041653484970524	2127.87	1.258609894620313e-16	2127.87	1.593428435779829e-16
2133.8963	0.0007068100683489537	2133.8963	0.0015283010280114362	2127.89	7.05336037668507e-16	2127.89	8.949131771521216e-16
2133.92643	0.0007415287799726195	2133.92643	0.0015674367075257933	2127.91	3.7454492966090564e-15	2127.91	4.763353361983505e-15
2133.95657	0.0007812473982380524	2133.95657	0.0016165721001764194	2127.93	1.884964711424542e-14	2127.93	2.4033856703280468e-14
2133.9867	0.0008159661098617252	2133.9867	0.0016557077796907765	2127.95	8.992831606017292e-14	2127.95	1.1498002112532616e-13
2134.01684	0.0008356847281271451	2134.01684	0.0016898431723414153	2127.97	4.0681997591591665e-13	2127.97	5.217174548759755e-13
